,BKDUR,BKID,BKPMIN,BPOGV,BPOGX,BPOGY,CAM,CNT,CS,CX,CY,EEG_ENG,EEG_EXC,EEG_FRU,EEG_MED,FACE,FPOGD,FPOGID,FPOGS,FPOGV,FPOGX,FPOGY,LPCX,LPCY,LPD,LPS,LPV,MID,MOB,RPCX,RPCY,RPD,RPS,RPV,SCLX,SCLY,SCN,TIME,TIMETICK,USER,VID,WEB
12,0.0,0,10,1,0.4244999885559082,0.24075999855995178,4,12,0.0,-0.33072999119758606,0.10000000149011612,0,0,0,0,1,0.0,1,0.0,0,0.4349699914455414,0.23698000609874725,0.357369989156723,0.4742799997329712,23.895309448242188,1.0326000452041626,1,0,0,0.7857900261878967,0.5608800053596497,24.400360107421875,1.0326000452041626,1,0,0,1,0.199462890625,243765512452.0,,0,0
29,0.0,0,10,1,-0.10508999973535538,0.9469299912452698,13,29,0.0,-0.32082998752593994,0.20833000540733337,0,0,0,0,4,0.2084999978542328,2,0.166748046875,0,-0.14778999984264374,0.9340999722480774,0.3214600086212158,0.5085800290107727,20.97528076171875,0.8199099898338318,1,0,0,0.7453200221061707,0.5918700098991394,23.107580184936523,0.8132799863815308,1,0,0,4,0.47509765625,243766130079.0,,0,0
47,0.0,0,10,1,0.07745999842882156,0.5540400147438049,22,47,0.0,-0.14844000339508057,0.28240999579429626,0,0,0,0,7,0.23462000489234924,3,0.441162109375,0,0.07441999763250351,0.5686500072479248,0.3215399980545044,0.48737001419067383,21.29878044128418,1.0248899459838867,1,0,0,0.7505000233650208,0.5663599967956543,22.61762046813965,1.017490029335022,1,0,0,7,0.779296875,243766812016.0,,0,0
63,0.0,0,10,1,0.38749998807907104,0.34876999258995056,30,63,0.0,0.28125,0.2546299993991852,0,0,0,0,10,0.1989700049161911,4,0.7412109375,0,0.38130998611450195,0.3425599932670593,0.3279300034046173,0.4840700030326843,22.089509963989258,1.0622199773788452,1,0,0,0.7584599852561951,0.5624600052833557,22.601770401000977,1.0622199773788452,1,0,0,10,1.04052734375,243767397522.0,,0,0
80,0.0,0,10,1,0.38809001445770264,0.1234700009226799,37,80,0.0,0.2859399914741516,0.25,0,0,0,0,12,0.21288999915122986,5,1.008056640625,0,0.38644999265670776,0.12249000370502472,0.3130300045013428,0.46952998638153076,25.081579208374023,1.017490029335022,1,0,0,0.7451800107955933,0.5419300198554993,23.335540771484375,1.017490029335022,1,0,0,12,1.315185546875,243768013073.0,,0,0
93,0.0,0,10,1,0.0625,0.03446999937295914,44,93,0.0,0.3536500036716461,0.0,0,0,0,0,15,0.1979999989271164,6,1.2841796875,0,0.0765099972486496,0.041280001401901245,0.2987299859523773,0.47192999720573425,21.041309356689453,1.017490029335022,1,0,0,0.7314800024032593,0.545769989490509,23.31574058532715,1.017490029335022,1,0,0,14,1.53466796875,243768504464.0,,0,0
109,0.0,0,10,1,0.1714800000190735,0.036249998956918716,52,109,0.0,0.22655999660491943,0.003700000001117587,0,0,0,0,17,0.24779999256134033,7,1.50146484375,0,0.16368000209331512,0.018069999292492867,0.3062399923801422,0.46334999799728394,22.931299209594727,0.9639400243759155,1,0,0,0.7382799983024597,0.5376999974250793,24.48703956604004,0.9639400243759155,1,0,0,17,1.79638671875,243769091290.0,,0,0
162,0.0,0,10,1,0.15398000180721283,0.030489999800920486,79,162,0.0,0.19947999715805054,0.012959999963641167,0,0,0,0,26,0.8525400161743164,8,1.7685546875,0,0.15219999849796295,0.01655000075697899,0.31424999237060547,0.47600001096725464,26.739959716796875,0.9973400235176086,1,0,0,0.743340015411377,0.5481600165367126,25.931859970092773,0.9907199740409851,1,0,0,26,2.67138671875,243771051819.0,,0,0
190,0.0,0,9,1,0.37255001068115234,0.23478999733924866,89,192,0.0,0.19947999715805054,0.012959999963641167,0,0,0,0,30,0.42357999086380005,9,2.638427734375,0,0.3808799982070923,0.22145000100135803,0.3462199866771698,0.47257000207901,25.140949249267578,1.0397000312805176,1,0,0,0.7748100161552429,0.5481699705123901,24.995040893554688,1.0322999954223633,1,0,0,29,3.161376953125,243772150157.0,,0,0
222,0.0,0,8,1,0.41881000995635986,0.18734000623226166,100,225,0.0,0.9994800090789795,0.0,0,0,0,0,34,0.5319799780845642,10,3.12890625,0,0.4242100119590759,0.18871000409126282,0.32357001304626465,0.47547000646591187,22.947080612182617,1.0248899459838867,1,0,0,0.7512900233268738,0.535099983215332,21.99493980407715,1.0322999954223633,1,0,0,34,3.708251953125,243773375516.0,,0,0
